X,ID,Intercept,umol.L.sec,Temp.C,Date,Run,Species,Temp.Cat,Light_Dark,Organism.ID,Species.Fullname,Blank,Surface.Area,Buoyant.Weight,Treatment,Mean,RMSE,R2,Std Error Slope,Std Error Intercept,t Ratio Slope,t Ratio Intercept,Prob>|t| Slope,Prob>|t| Intercept
444,R102_Por6_TP_2.2,59.30737207,0.044975595,32,02/16/2021,NA,Por,32,Light,Por6,Porites,0,5,10,2,102.98125,2.30032872,0.980102117,0.004531372,4.548057411,9.925381974,13.04015467,0.009998931,0.005829402
445,R005_Poc6_TP_2.3,205.1247964,-0.04236062,32,02/16/2021,NA,Poc,32,Dark,Poc6,Pocillopora,0,5,10,2,115.326,4.400614126,0.941923377,0.007437727,15.91976402,-5.69537214,12.88491438,0.02947263,0.005969454
446,R005_Poc6_TP_2.3,166.1577548,-0.045850827,34,02/16/2021,NA,Poc,34,Dark,Poc6,Pocillopora,0,5,10,2,70.859,3.4892149,0.963920612,0.006272507,13.15331799,-7.309809305,12.63238333,0.018205413,0.006208267
447,G160_Por3_TP_2.1,129.4340788,0.04017888,30,02/16/2021,NA,Por,30,Light,Por3,Porites,0,5,10,2,167.522,5.592525516,0.881572067,0.010413123,10.25962439,3.858485153,12.61586915,0.061079307,0.006224379
448,R016_Poc6_TP_4.2,159.6686243,-0.001653212,26,02/16/2021,NA,Poc,26,Dark,Poc6,Pocillopora,0,5,10,4,156.274,4.340867798,0.033657872,0.006263767,13.0435603,-0.263932499,12.2411842,0.816539181,0.006607423
449,R163_Por8_TP_2.1,132.2269002,0.037413927,24,02/16/2021,NA,Por,24,Light,Por8,Porites,0,5,10,2,175.22075,6.20146123,0.892209546,0.009195493,11.0124539,4.06872447,12.00703325,0.055431555,0.006864967
450,G025_Poc2_TP_2.2,115.6121592,0.006495754,30,02/16/2021,NA,Poc,30,Dark,Poc2,Pocillopora,0,5,10,2,128.13925,3.045090023,0.452534605,0.005052043,9.861135394,1.28576784,11.72402107,0.327293076,0.007196789
451,R047_Poc8_TP_4.3,119.8880833,0.011814299,22,02/16/2021,NA,Poc,22,Dark,Poc8,Pocillopora,0,5,10,4,144.48925,2.893817434,0.746446389,0.004868874,10.24128667,2.426495046,11.70634972,0.13602871,0.007218298
452,G031_Poc2_TP_4.2,165.6131664,-0.010374174,30,02/16/2021,NA,Poc,30,Dark,Poc2,Pocillopora,0,5,10,4,144.4935,3.784008054,0.529789435,0.006910876,14.1957569,-1.501137426,11.66638507,0.272133642,0.007267298
453,R016_Poc6_TP_4.2,176.8093409,-0.026578335,34,02/16/2021,NA,Poc,34,Dark,Poc6,Pocillopora,0,5,10,4,126.071,5.514492312,0.849690512,0.007904522,15.33965751,-3.362421741,11.52629,0.078213413,0.007443052
454,G155_Por3_TP_4.2,69.66133279,0.020376919,22,02/16/2021,NA,Por,22,Dark,Por3,Porites,0,5,10,4,111.28875,1.752408797,0.960202715,0.002933383,6.056242141,6.946559167,11.50240218,0.020100661,0.007473653
455,G199_Por5_TP_4.1,231.6179693,-0.023021898,22,02/16/2021,NA,Por,22,Dark,Por5,Porites,0,5,10,4,184.8645,5.882250765,0.732484629,0.009837874,20.19433206,-2.340129463,11.46945433,0.144146842,0.007516169
456,R047_Poc8_TP_4.3,119.2782026,0.046396065,32,02/16/2021,NA,Poc,32,Light,Poc8,Pocillopora,0,5,10,4,166.225,5.634025529,0.916109128,0.009927729,10.43307731,4.673381635,11.43269613,0.042864102,0.007564031
457,R123_Por7_TP_0.3,220.562894,-0.037066464,26,02/16/2021,NA,Por,26,Dark,Por7,Porites,0,5,10,0,133.74925,4.802773367,0.905299111,0.008477097,19.99896947,-4.372542265,11.02871297,0.048527924,0.008121467
458,R032_Poc7_TP_0.3,104.3045447,0.020427271,26,02/16/2021,NA,Poc,26,Light,Poc7,Pocillopora,0,5,10,0,127.7325,5.786577681,0.769418361,0.007907268,9.519164945,2.583353924,10.95732087,0.122835044,0.008226335
459,G137_Por2_TP_4.1,110.4435453,0.065151781,26,02/16/2021,NA,Por,26,Light,Por2,Porites,0,5,10,4,181.5315,4.774407825,0.963393107,0.008980302,10.08512902,7.254965156,10.95112864,0.018474092,0.008235526
460,G031_Poc2_TP_4.2,66.51047021,0.059648821,32,02/16/2021,NA,Poc,32,Light,Poc2,Pocillopora,0,5,10,4,129.7595,3.147170172,0.982344478,0.005654513,6.19885517,10.54888658,10.72947639,0.008867073,0.008574894
461,G183_Por5_TP_2.1,92.2049855,0.024899825,22,02/16/2021,NA,Por,22,Light,Por5,Porites,0,5,10,2,129.7315,3.661496083,0.907861691,0.005609079,8.649410158,4.439200126,10.66026282,0.047182236,0.008685153
462,R047_Poc8_TP_4.3,72.93264554,0.044153652,34,02/16/2021,NA,Poc,34,Light,Poc8,Pocillopora,0,5,10,4,112.92125,4.28818437,0.947006428,0.007385617,7.024162628,5.978329738,10.38310891,0.026857447,0.009148574
463,R016_Poc6_TP_4.2,341.1589892,-0.093839507,30,02/16/2021,NA,Poc,30,Dark,Poc6,Pocillopora,0,5,10,4,159.6,9.109629177,0.939534044,0.016833326,32.88577295,-5.574626766,10.37406023,0.030704357,0.009164322
464,R047_Poc8_TP_4.3,97.50731721,0.028149267,22,02/16/2021,NA,Poc,22,Light,Poc8,Pocillopora,0,5,10,4,127.68925,4.615491032,0.845165199,0.008519529,9.421725601,3.304087273,10.34919943,0.080671333,0.009207797
465,R163_Por8_TP_2.1,110.1702211,0.042855649,28,02/16/2021,NA,Por,28,Light,Por8,Porites,0,5,10,2,160.4635,5.968378403,0.92328278,0.008735186,10.67671069,4.906094812,10.31874182,0.039123952,0.00926148
466,R005_Poc6_TP_2.3,104.9643556,0.025269766,28,02/16/2021,NA,Poc,28,Light,Poc6,Pocillopora,0,5,10,2,135.36775,5.735181289,0.819946777,0.008373246,10.47446945,3.017917607,10.02097109,0.094490874,0.009811868
467,G183_Por5_TP_2.1,89.6845132,0.034796926,28,02/16/2021,NA,Por,28,Light,Por5,Porites,0,5,10,2,132.06275,4.982553314,0.919926738,0.007259271,9.185175519,4.793446205,9.764050019,0.040871887,0.010326943
468,R108_Por6_TP_0.2,282.0444369,-0.042206295,22,02/16/2021,NA,Por,22,Dark,Por6,Porites,0,5,10,0,176.94825,6.239180753,0.855227153,0.012279058,30.73431725,-3.43725839,9.176857082,0.075215077,0.011667009
469,G030_Poc2_TP_0.1,53.19126252,0.066597799,24,02/16/2021,NA,Poc,24,Light,Poc2,Pocillopora,0,5,10,0,121.58875,2.835605124,0.986193616,0.005571906,5.895498612,11.95242739,9.022351801,0.006927185,0.012062756
470,R108_Por6_TP_0.2,68.16348393,0.100278503,24,02/16/2021,NA,Por,24,Light,Por6,Porites,0,5,10,0,169.527,3.861075877,0.988876661,0.007520373,7.8430526,13.33424656,8.690938007,0.005577222,0.012982101
471,R042_Poc8_TP_2.3,193.5607563,0.000706119,28,02/16/2021,NA,Poc,28,Dark,Poc8,Pocillopora,0,5,10,2,195.18925,5.446709894,0.002443187,0.010089122,23.42696326,0.069988159,8.262306733,0.950571391,0.01433443
472,R108_Por6_TP_0.2,240.7589577,-0.058012585,32,02/16/2021,NA,Por,32,Dark,Por6,Porites,0,5,10,0,124.65025,8.194664669,0.887643503,0.014594426,29.49583943,-3.974982227,8.162471805,0.057851656,0.014679492
473,R163_Por8_TP_2.1,146.5256809,0.032402343,26,02/16/2021,NA,Por,26,Light,Por8,Porites,0,5,10,2,179.4805,10.7332113,0.637989484,0.017258985,18.35530893,1.87741881,7.982741207,0.201257561,0.015332651
474,G155_Por3_TP_4.2,81.09500573,0.03737731,24,02/16/2021,NA,Por,24,Light,Por3,Porites,0,5,10,4,116.30275,6.086229692,0.867912135,0.010310664,10.17777062,3.625111903,7.967855509,0.06838198,0.015388677
475,R102_Por6_TP_2.2,82.98824065,0.03411763,24,02/16/2021,NA,Por,24,Light,Por6,Porites,0,5,10,2,118.89575,6.469527038,0.86484159,0.009537117,10.54581261,3.57735257,7.869307344,0.070031404,0.015767393
476,G137_Por2_TP_4.1,97.80644018,0.081181154,32,02/16/2021,NA,Por,32,Light,Por2,Porites,0,5,10,4,181.37225,6.71517124,0.958555899,0.011936111,12.73723208,6.801306719,7.678782924,0.02094132,0.016539988
477,G155_Por3_TP_4.2,87.45535135,0.031340194,34,02/16/2021,NA,Por,34,Light,Por3,Porites,0,5,10,4,114.621,7.649580695,0.739788269,0.013143057,12.01730181,2.384543682,7.277453184,0.139890548,0.018363216
478,G030_Poc2_TP_0.1,200.7680963,-0.044904945,30,02/16/2021,NA,Poc,30,Dark,Poc2,Pocillopora,0,5,10,0,103.24475,6.585358478,0.863320639,0.012634108,27.63527277,-3.554263237,7.264921824,0.070849507,0.018424879
479,G137_Por2_TP_4.1,269.4519889,-0.060218442,32,02/16/2021,NA,Por,32,Dark,Por2,Porites,0,5,10,4,143.15275,9.874622739,0.850474029,0.017854278,37.77078505,-3.372773758,7.13387314,0.077788512,0.019088586
480,R016_Poc6_TP_4.2,94.20230967,0.082677611,28,02/16/2021,NA,Poc,28,Light,Poc6,Pocillopora,0,5,10,4,174.23,7.796031943,0.950861472,0.013290012,13.44166356,6.221033678,7.008232963,0.02487874,0.019758808
481,R032_Poc7_TP_0.3,89.82377883,0.039693031,24,02/16/2021,NA,Poc,24,Light,Poc7,Pocillopora,0,5,10,0,131.25725,6.050097997,0.844912255,0.01202492,12.91155355,3.300897681,6.956852905,0.080808912,0.020042996
482,R047_Poc8_TP_4.3,69.31459037,0.055753694,30,02/16/2021,NA,Poc,30,Light,Poc8,Pocillopora,0,5,10,4,123.55775,5.726227419,0.941166037,0.009856882,10.00810967,5.656321304,6.925842407,0.029862877,0.020217464
483,R108_Por6_TP_0.2,200.0146417,-0.022628271,26,02/16/2021,NA,Por,26,Dark,Por6,Porites,0,5,10,0,148.77575,7.28568333,0.610877909,0.01277033,29.1453686,-1.77194103,6.862656105,0.218413211,0.020580006
484,G155_Por3_TP_4.2,84.72105468,0.035669596,30,02/16/2021,NA,Por,30,Light,Por3,Porites,0,5,10,4,117.74575,7.511271376,0.792723568,0.012897254,12.51760529,2.765673578,6.768151953,0.10964975,0.021140514
485,R005_Poc6_TP_2.3,106.0488478,0.047188405,30,02/16/2021,NA,Poc,30,Light,Poc6,Pocillopora,0,5,10,2,153.27925,8.100340435,0.829044223,0.015152118,15.69711436,3.114310826,6.755945417,0.089481344,0.02121456
486,R016_Poc6_TP_4.2,49.15740712,0.086827843,32,02/16/2021,NA,Poc,32,Light,Poc6,Pocillopora,0,5,10,4,130.0665,4.442739641,0.985090781,0.007553241,7.380585078,11.49544207,6.660367247,0.007482604,0.021807882
487,R102_Por6_TP_2.2,82.66285174,0.028517774,28,02/16/2021,NA,Por,28,Light,Por6,Porites,0,5,10,2,113.37325,7.786058569,0.755812026,0.01146188,12.94251928,2.488053763,6.386921277,0.130625497,0.023648052
488,R125_Por7_TP_4.2,96.37307616,0.040575284,32,02/16/2021,NA,Por,32,Light,Por7,Porites,0,5,10,4,140.20825,7.758269651,0.808080081,0.013982325,15.59581833,2.901898199,6.179417721,0.101067254,0.025202361
489,G155_Por3_TP_4.2,122.5449469,0.019682219,28,02/16/2021,NA,Por,28,Light,Por3,Porites,0,5,10,4,142.077,11.2272568,0.343588742,0.019236568,19.89807535,1.023166825,6.158633169,0.413835567,0.025366328
490,R042_Poc8_TP_2.3,63.28053241,0.04338194,22,02/16/2021,NA,Poc,22,Light,Poc8,Pocillopora,0,5,10,2,124.8565,4.844295916,0.944554127,0.007432162,10.82364773,5.837055318,5.846507019,0.028118255,0.028031198
491,R108_Por6_TP_0.2,70.14055529,0.073072554,26,02/16/2021,NA,Por,26,Light,Por6,Porites,0,5,10,0,151.87175,7.57298318,0.961833419,0.01029274,12.11907848,7.099427071,5.787614579,0.019268936,0.02858022
492,G137_Por2_TP_4.1,90.67800909,0.032744531,24,02/16/2021,NA,Por,24,Light,Por2,Porites,0,5,10,4,123.22225,9.90152743,0.65434088,0.016828514,17.44290732,1.945776773,5.198560504,0.191086605,0.035067899
493,G031_Poc2_TP_4.2,60.13136589,0.051729746,34,02/16/2021,NA,Poc,34,Light,Poc2,Pocillopora,0,5,10,4,109.03875,7.121641185,0.89935676,0.012236343,12.10433768,4.227549435,4.9677535,0.05165578,0.038213393
494,G155_Por3_TP_4.2,80.6144924,0.035451802,32,02/16/2021,NA,Por,32,Light,Por3,Porites,0,5,10,4,114.67825,9.464413115,0.700598945,0.016387596,16.44169756,2.163331499,4.903051652,0.162982112,0.039169716
495,G031_Poc2_TP_4.2,85.44853113,0.072631842,22,02/16/2021,NA,Poc,22,Light,Poc2,Pocillopora,0,5,10,4,166.7435,8.524261856,0.911824526,0.015970935,18.37694539,4.547751548,4.649767919,0.045104966,0.043272651
496,R108_Por6_TP_0.2,96.37155624,0.029208936,34,02/16/2021,NA,Por,34,Light,Por6,Porites,0,5,10,0,126.1935,14.81383086,0.520544054,0.019821949,21.55080259,1.473565307,4.471831425,0.27851261,0.046543314
497,R123_Por7_TP_0.3,101.9447689,0.030904524,26,02/16/2021,NA,Por,26,Light,Por7,Porites,0,5,10,0,139.66075,14.07155966,0.549036214,0.019805116,25.17344091,1.560431324,4.049695441,0.25903022,0.055910733
498,R047_Poc8_TP_4.3,98.04088973,0.05644087,26,02/16/2021,NA,Poc,26,Light,Poc8,Pocillopora,0,5,10,4,158.85525,12.12885452,0.754371107,0.022773297,25.27624301,2.47837943,3.878776197,0.131454603,0.060498599
499,G137_Por2_TP_4.1,134.2475415,0.037506955,28,02/16/2021,NA,Por,28,Light,Por2,Porites,0,5,10,4,173.54175,18.66069502,0.401724365,0.032365579,35.16812431,1.158853204,3.817307409,0.366182704,0.062282926
500,R108_Por6_TP_0.2,78.71079523,0.07531125,22,02/16/2021,NA,Por,22,Light,Por6,Porites,0,5,10,0,175.493,12.42209456,0.922914776,0.01539039,20.73045192,4.893394479,3.796868276,0.039315465,0.062893181
501,R016_Poc6_TP_4.2,108.5008812,0.018032345,22,02/16/2021,NA,Poc,22,Dark,Poc6,Pocillopora,0,5,10,4,144.90425,9.274929232,0.404915965,0.015457666,31.54835755,1.166563271,3.439192708,0.363669924,0.075139789
